ISO	Name	Tone	Tone_number	Tone_comments
yad	Yagua	Simple	2	
yan	Sumu	None	0	
yaq	Yaqui	Simple	2	
ybe	Saryg Yugur	None	0	
ycn	Yucuna	None	0	
yee	Yimas	None	0	
yeu	Yerukala	None	0	
ygr	Yagaria, Move dialect	Simple	2	
yii	Yidiny	None	0	
ykg	Tundra Yukaghir	None	0	
yle	Yelî Dnye	None	0	
ynn	Yana, Northern dialect	None	0	
yok	Chukchansi	None	0	
yor	Yoruba	Moderately complex	3	
yrb	Yareba	None	0	
yss	Yessan-Mayo	None	0	
yua	Yucatec	Simple	2	
yui	Yurutí	Simple	2	
yul	Yulu	Complex	4	
yur	Yurok	None	0	
yux	Kolyma Yukaghir	None	0	
yva	Yawa	None	0	
zmc	Gunya	None	0	
zmr	Maranungku	None	0	
zne	Azande	Simple	2	
zoc	Zoque, Copainalá	None	0	
zun	Zuni	None	0	
